"location","elevation","ann_prec_mean","centroid","fips","cluster"
"47.78125_-121.21875",1287.93994,2318.91,2055.41,53061,"lesser precip"
"47.78125_-121.28125",875.434998,2568.9,2759.57,53061,"less precip"
"47.78125_-121.34375",1263.25,3034.53,2759.57,53061,"less precip"
"47.78125_-121.40625",1031.64001,3285.23,3701.32,53061,"most precip"
"47.78125_-121.46875",740.015991,3300.53,3701.32,53061,"most precip"
"47.78125_-121.53125",827.97998,3048.77,2759.57,53061,"less precip"
"47.78125_-121.59375",869.616028,3451.69,3701.32,53061,"most precip"
"47.78125_-121.65625",669.685974,3328.86,3701.32,53061,"most precip"
"47.78125_-121.71875",1151.12,3614.37,3701.32,53061,"most precip"
"47.78125_-121.78125",576.247986,2501.51,2759.57,53061,"less precip"
"47.78125_-121.84375",190.125,1601.1,1211.6,53061,"least precip"
"47.78125_-121.90625",265.938995,1516.81,1211.6,53061,"least precip"
"47.78125_-121.96875",61.3755989,1310.66,1211.6,53061,"least precip"
"47.78125_-122.03125",147.25,1273.57,1211.6,53061,"least precip"
"47.78125_-122.09375",122,1223.33,1211.6,53061,"least precip"
"47.78125_-122.15625",66.3130035,1092.07,1211.6,53061,"least precip"
"47.78125_-122.21875",61.9375992,1042.72,1211.6,53061,"least precip"
"47.78125_-122.28125",121.938004,1027.61,1211.6,53061,"least precip"
"47.78125_-122.34375",122,1015.58,1211.6,53061,"least precip"
"47.84375_-121.15625",1496.02002,2341.01,2055.41,53061,"lesser precip"
"47.84375_-121.21875",1049.38,2379.48,2055.41,53061,"lesser precip"
"47.84375_-121.28125",1195.63,2575.04,2759.57,53061,"less precip"
"47.84375_-121.34375",1268.06995,2804.98,2759.57,53061,"less precip"
"47.84375_-121.40625",1403.27002,3324.89,3701.32,53061,"most precip"
"47.84375_-121.46875",1114.62,3450.07,3701.32,53061,"most precip"
"47.84375_-121.53125",896.184998,3493.57,3701.32,53061,"most precip"
"47.84375_-121.59375",469.820007,3565.74,3701.32,53061,"most precip"
"47.84375_-121.65625",98.0642014,2284.31,2055.41,53061,"lesser precip"
"47.84375_-121.71875",101.624001,2183.25,2055.41,53061,"lesser precip"
