"cluster","location","elevation","ann_prec_mean","elev_centriod","prec_centroid"
"1","47.78125_-121.21875",1287.94,2318.91,1473.76,2309.26
"1","47.84375_-121.15625",1496.02,2341.01,1473.76,2309.26
"1","47.84375_-121.21875",1049.38,2379.48,1473.76,2309.26
"1","47.84375_-121.28125",1195.63,2575.04,1473.76,2309.26
"1","47.84375_-121.34375",1268.07,2804.98,1473.76,2309.26
"1","47.90625_-121.21875",1388.82,2699.13,1473.76,2309.26
"1","47.96875_-121.15625",1582.12,2731.09,1473.76,2309.26
"1","47.96875_-121.21875",1389.82,2931.47,1473.76,2309.26
"1","47.96875_-121.28125",1100.75,2802.95,1473.76,2309.26
"1","48.03125_-121.15625",1654.64,2566.97,1473.76,2309.26
"1","48.03125_-121.21875",1359.36,2788.76,1473.76,2309.26
"1","48.03125_-121.28125",1147.83,2725.56,1473.76,2309.26
"1","48.09375_-121.03125",1439.43,1982.27,1473.76,2309.26
"1","48.09375_-121.09375",2202.94,2363.16,1473.76,2309.26
"1","48.09375_-121.15625",1575.95,2485.77,1473.76,2309.26
"1","48.09375_-121.21875",1515.76,2676.94,1473.76,2309.26
"1","48.09375_-121.28125",1191.37,2724.68,1473.76,2309.26
"1","48.15625_-120.96875",1615.94,1943.67,1473.76,2309.26
"1","48.15625_-121.03125",1414.74,1926.75,1473.76,2309.26
"1","48.15625_-121.09375",1513.81,2138.23,1473.76,2309.26
"1","48.15625_-121.15625",1850.37,2470.01,1473.76,2309.26
"1","48.15625_-121.21875",1170.26,2694.27,1473.76,2309.26
"1","48.21875_-120.96875",1908.13,1957.05,1473.76,2309.26
"1","48.21875_-121.03125",1483.87,1982.76,1473.76,2309.26
"1","48.21875_-121.09375",1082.45,2205.82,1473.76,2309.26
"1","48.21875_-121.21875",1716.8,2616.03,1473.76,2309.26
"1","48.21875_-121.34375",1110.94,2791.23,1473.76,2309.26
"1","48.28125_-121.03125",1416.58,2106.42,1473.76,2309.26
"1","48.28125_-121.15625",1571.75,2369.56,1473.76,2309.26
"1","48.28125_-121.21875",1009.75,2592.47,1473.76,2309.26
"1","48.28125_-121.28125",1514.12,2673.37,1473.76,2309.26
"1","48.28125_-121.46875",1422.18,2914.89,1473.76,2309.26
"1","48.34375_-121.09375",1169.5,2397.66,1473.76,2309.26
"1","48.34375_-121.15625",1136.44,2549.86,1473.76,2309.26
"1","48.34375_-121.21875",1627.45,2984.9,1473.76,2309.26
"1","48.40625_-121.09375",1690.06,2256.18,1473.76,2309.26
"1","48.40625_-121.15625",1496.82,2404.13,1473.76,2309.26
"1","48.40625_-121.21875",1541.93,2527.06,1473.76,2309.26
"1","48.40625_-121.40625",1240.81,2863.96,1473.76,2309.26
"1","48.40625_-121.46875",1341.95,2852.31,1473.76,2309.26
"1","48.46875_-121.09375",2019.3,2237.23,1473.76,2309.26
"1","48.46875_-121.28125",1437.76,2651.99,1473.76,2309.26
"1","48.46875_-121.34375",1333.61,2804.87,1473.76,2309.26
"1","48.46875_-121.40625",1234.18,2690.8,1473.76,2309.26
"1","48.53125_-120.71875",1839.68,1493.82,1473.76,2309.26
"1","48.53125_-120.78125",1668.95,1506.76,1473.76,2309.26
"1","48.53125_-120.90625",2006.99,1876.78,1473.76,2309.26
"1","48.53125_-120.96875",2048.69,2000.32,1473.76,2309.26
"1","48.53125_-121.03125",1885.3,1945.21,1473.76,2309.26
"1","48.53125_-121.09375",1558.7,2907.45,1473.76,2309.26
"1","48.53125_-121.21875",1271.62,2668.35,1473.76,2309.26
"1","48.59375_-120.78125",1727.01,1397.38,1473.76,2309.26
"1","48.59375_-120.84375",1699.44,1496.74,1473.76,2309.26
"1","48.59375_-120.90625",2011.17,1779.35,1473.76,2309.26
"1","48.59375_-120.96875",1944.62,1847.37,1473.76,2309.26
"1","48.59375_-121.09375",1954.99,2530.55,1473.76,2309.26
"1","48.59375_-121.28125",1679.39,2928,1473.76,2309.26
"1","48.65625_-120.78125",2002.19,1470.38,1473.76,2309.26
"1","48.65625_-120.84375",1271.45,1463.46,1473.76,2309.26
"1","48.65625_-120.90625",1547.19,1751.1,1473.76,2309.26
"1","48.65625_-120.96875",1964.41,1865.73,1473.76,2309.26
"1","48.65625_-121.03125",1177.62,2070.43,1473.76,2309.26
"1","48.65625_-121.09375",1080.33,2030.7,1473.76,2309.26
"1","48.65625_-121.15625",1775.94,2679.09,1473.76,2309.26
"1","48.65625_-121.21875",1038.95,2439.76,1473.76,2309.26
"1","48.65625_-121.34375",1092.75,2398.67,1473.76,2309.26
"1","48.65625_-121.46875",1223.25,2880.61,1473.76,2309.26
"1","48.71875_-120.71875",1912.81,1299.68,1473.76,2309.26
"1","48.71875_-120.78125",1649.2,1363.99,1473.76,2309.26
"1","48.71875_-120.84375",1151.13,1503.67,1473.76,2309.26
"1","48.71875_-120.90625",1034.27,1832.3,1473.76,2309.26
