"fips","st_county"
4009,"AZ_Graham "
6029,"CA_Kern "
37149,"NC_Polk "
37089,"NC_Henderson "
37021,"NC_Buncombe "
37161,"NC_Rutherford "
6079,"CA_San Luis Obispo "
6107,"CA_Tulare "
37199,"NC_Yancey "
37003,"NC_Alexander "
37193,"NC_Wilkes "
6031,"CA_Kings "
6019,"CA_Fresno "
6053,"CA_Monterey "
51035,"VA_Carroll "
6069,"CA_San Benito "
6039,"CA_Madera "
6085,"CA_Santa Clara "
6047,"CA_Merced "
6099,"CA_Stanislaus "
6077,"CA_San Joaquin "
51125,"VA_Nelson "
6009,"CA_Calaveras "
6067,"CA_Sacramento "
6095,"CA_Solano "
6005,"CA_Amador "
6113,"CA_Yolo "
6101,"CA_Sutter "
8029,"CO_Delta "
6061,"CA_Placer "
6011,"CA_Colusa "
6115,"CA_Yuba "
8077,"CO_Mesa "
51069,"VA_Frederick "
6007,"CA_Butte "
54037,"WV_Jefferson "
54003,"WV_Berkeley "
6021,"CA_Glenn "
54065,"WV_Morgan "
24043,"MD_Washington "
6103,"CA_Tehama "
42001,"PA_Adams "
42041,"PA_Cumberland "
6089,"CA_Shasta "
36103,"NY_Suffolk "
17131,"IL_Mercer "
17011,"IL_Bureau "
17073,"IL_Henry "
17161,"IL_Rock Island "
9009,"CT_New Haven "
36071,"NY_Orange "
36027,"NY_Dutchess "
36111,"NY_Ulster "
9003,"CT_Hartford "
26091,"MI_Lenawee "
26021,"MI_Berrien "
6093,"CA_Siskiyou "
26027,"MI_Cass "
26159,"MI_Van Buren "
36021,"NY_Columbia "
25015,"MA_Hampshire "
26005,"MI_Allegan "
33011,"NH_Hillsborough "
36001,"NY_Albany "
33015,"NH_Rockingham "
36067,"NY_Onondaga "
26081,"MI_Kent "
50025,"VT_Windham "
26139,"MI_Ottawa "
26067,"MI_Ionia "
36117,"NY_Wayne "
26117,"MI_Montcalm "
36055,"NY_Monroe "
36073,"NY_Orleans "
36063,"NY_Niagara "
26121,"MI_Muskegon "
36000,"NY_NA"
26123,"MI_Newaygo "
16027,"ID_Canyon "
26127,"MI_Oceana "
23031,"ME_York "
26085,"MI_Lake "
26105,"MI_Mason "
16075,"ID_Payette "
55121,"WI_Trempealeau "
23001,"ME_Androscoggin "
23011,"ME_Kennebec "
26101,"MI_Manistee "
26019,"MI_Benzie "
50011,"VT_Franklin "
36019,"NY_Clinton "
26055,"MI_Grand Traverse "
26089,"MI_Leelanau "
41065,"OR_Wasco "
26000,"MI_NA"
41027,"OR_Hood River "
41021,"OR_Gilliam "
53059,"WA_Skamania "
53039,"WA_Klickitat "
41049,"OR_Morrow "
41059,"OR_Umatilla "
53005,"WA_Benton "
53071,"WA_Walla Walla "
53021,"WA_Franklin "
53077,"WA_Yakima "
53013,"WA_Columbia "
53025,"WA_Grant "
53001,"WA_Adams "
53037,"WA_Kittitas "
53007,"WA_Chelan "
53017,"WA_Douglas "
53061,"WA_Snohomish "
53047,"WA_Okanogan "
